1	1	20
1	2	1	0
4	2	1	0
1	2	1	0
4	2	1	0
1	2	1	0
6	2	1	0
1	2	1	0
6	2	1	0
1	2	1	0
4	2	1	0
1	2	1	0
4	2	1	0
1	2	1	0
4	2	1	0
1	2	1	0
6	2	1	0
1	2	1	0
6	2	1	0
1	2	1	0
6	2	1	0
1	2	1	0
6	2	1	0
1	2	1	0
4	2	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
1	2	1	0
64	92	1	0
