1	1	20
5	2	1	0
8	2	1	0
5	2	1	0
2	2	1	0
5	2	1	0
2	2	1	0
5	2	1	0
8	2	1	0
5	2	1	0
8	2	1	0
5	2	1	0
8	2	1	0
5	2	1	0
8	2	1	0
5	2	1	0
2	2	1	0
5	2	1	0
8	2	1	0
5	2	1	0
2	2	1	0
5	2	1	0
2	2	1	0
5	2	1	0
2	2	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
5	2	1	0
28	29	1	0
